Iteration,target,lambd,weight
17,0.9119490463837964,3.713629715936397,0.8414506779154612
52,0.9116827884616363,3.729786925520684,0.839665449234968
25,0.9113833408936682,3.475669997434795,0.8320644931386173
39,0.911241590051803,3.321591656076732,0.3240500173602715
22,0.9112075149591966,3.880824266482862,0.6933987450303896
43,0.9111903390030417,3.8514048369010006,0.8615208811726143
48,0.911040849252439,4.101644799974892,0.7574942217405274
50,0.9109748160104196,3.0543116914973543,0.2627130200708695
26,0.9109243602870936,3.660004078402289,0.7690007877276998
18,0.9109109452882486,3.715833256849128,1.0
47,0.9108730210197408,3.5711792645142326,0.2515878381876582
51,0.9108319771760843,3.6051488720263727,0.9059300615812969
34,0.9108049350582658,3.1878556839636984,0.641231466673512
35,0.9107636938513126,4.030959011277055,0.9335383392285789
19,0.9105201490299605,3.518511857199856,0.5404044767725631
3,0.9101497104834794,4.294182513455157,0.6458941130666561
41,0.9101020310093796,3.3466649418047223,0.9944934815332203
4,0.9098964442043226,4.432113391500656,0.8917730007820798
40,0.9096770709740013,3.9701046906944213,0.2860552820469188
0,0.9095779673739995,3.0,1.0
45,0.9094901066464208,2.76230448920265,0.005820520618681213
30,0.9094819734366713,3.723088175351664,0.0
21,0.9093739224680464,2.3698768389449105,0.8379988411402614
42,0.9093726523671412,2.637949875593286,0.9813103903728886
23,0.9091894211463707,2.8528340002527575,0.4809442275670175
12,0.9089644514263989,4.668645686304025,0.7805291762864555
24,0.9089231984640415,4.186214254054029,0.001188326003764395
46,0.908875944681879,2.4399049043875336,0.4034061596008351
16,0.9083642166664999,3.252862891964257,0.0
49,0.9083240648492836,4.439046361493707,0.32199100994738417
55,0.9082009236883392,4.848071497203617,0.4676406577616242
36,0.9081294591949297,2.038302491507629,0.9971061564442937
32,0.9078607985171651,5.0536470243263025,0.9957798375137844
29,0.9068197641444701,1.8965281395350277,0.46572751846748833
20,0.9063852003504141,2.266350889600276,0.0
14,0.9061408598674522,1.5191975453495596,0.9446689170495839
1,0.9051683302440138,5.533253688880515,0.7151893663724195
15,0.905155110315999,5.266298385325709,0.4146619399905236
28,0.9048434399498341,4.751969521003883,0.0
7,0.9048094446019116,5.72364115482993,0.925596638292661
13,0.9042504339058294,1.270916816102439,0.6399210213275238
33,0.9041202626881142,1.614045632576143,0.009242816703668444
44,0.9025083648263615,0.8210889681659334,0.9967146675216391
2,0.9012149218087675,6.067357423109274,0.5448831829968969
38,0.9006569542679735,5.650812155978021,0.0
9,0.9005676194820347,0.30016213465922464,0.832619845547938
37,0.9001366535520848,6.6792863385005345,1.0
8,0.8995698103020316,0.8032569761590808,0.08712929970154071
31,0.8948742089858778,0.1,0.0
10,0.8930528442479733,7.80375183440352,0.8700121482468192
27,0.8929294953590361,6.838349655544125,0.003809656170915332
54,0.8904823865747454,8.748582466761867,1.0
6,0.8901510702236326,7.9380778770183795,0.5288949197529045
11,0.8857155094549296,9.788321588104363,0.7991585642167236
53,0.8818747356077044,8.672395028606312,0.0
5,0.8817145639905837,9.64026132896019,0.3834415188257777
