Iteration,target,depth,lambd
12,0.9176513952466706,4.182634971059967,2.98211666450792
9,0.9173850475327345,3.2390005824289756,4.470627692676328
8,0.9171836663711797,3.002554369065429,3.6153957016883553
13,0.9169152877062469,5.293515708147193,3.081147689835904
15,0.9169145269343472,6.332277346478052,2.1349761240603686
18,0.9166526518910091,7.671404462264393,1.710734833498523
14,0.916013173871832,4.869719024509043,1.9386638485243883
29,0.9156924912334125,6.9693914496477785,1.0487100776228415
10,0.9153536572732763,4.286760651229119,4.203758511060298
19,0.9151538870817945,7.83837370050978,0.5026193179539703
7,0.9148445078887759,3.9266516471739807,6.054635318566149
4,0.9147310264799872,3.7773723196146896,5.618758973031891
30,0.9143565511726228,5.773299358019059,4.084801432039194
33,0.9143030587844788,7.150510765729486,2.372888096046838
26,0.9139517846555244,7.991486277449718,2.8878471945409365
28,0.9139495227092888,3.4309523479355777,2.15216256962181
16,0.913847974607854,6.833829525430746,3.3481572418119447
17,0.9136854492675681,5.98299229446706,0.8186370761266908
3,0.9112636071334507,2.3038214796436964,3.7828269069089537
6,0.9100775645098823,3.944119417453155,7.353552986540869
0,0.9096094542165417,3.919154032918018,7.343082687700502
23,0.9093506052272703,4.246765519641015,0.5
32,0.9085965027264665,2.5285180943052725,2.7689300058864528
11,0.9080411835769023,5.065251033373588,5.499544608806732
2,0.9035532621787774,2.027291235719791,1.3772166503035792
22,0.9013728423993518,8.0,4.926309992019462
27,0.8988900744820313,3.7096828320214517,10.0
20,0.8932577886919398,5.510930482251388,8.297175289892568
21,0.8922749755334731,1.0,10.0
34,0.8921279164227931,7.9825987923175585,6.974504601440039
1,0.892024196691304,1.0008006237214142,3.372159440002478
5,0.8917582189363792,1.7614342033393142,4.004352114747633
25,0.8907116067758295,1.0,7.166947325151674
31,0.8899361169671655,1.0052400974446432,0.5092374910531725
24,0.8786173418328467,8.0,10.0
